Muni,VVD,CDA,PVV,D66,SP,GL,PvdA,CU,X50PLUS,PvdD,SGP,FvD,DENK,Urban_index,High_edu_perc,Mean_income,Dutch_perc,West_perc,Non_west_perc,Non_west,Perc_60plus
's-Hertogenbosch,0.231006893,0.098451999,0.147129327,0.14365618,0.10864771,0.108860786,0.050328671,0.009055751,0.029404558,0.033197319,0.001491536,0.01632166,0.02244761,2.423331802,0.37,26.2,,,,,0.118980913
Aa en Hunze,0.251606438,0.102576195,0.099098037,0.127512822,0.114189707,0.090432117,0.107881861,0.020338384,0.036078524,0.032187703,0.003419207,0.014502152,0.000176856,0.16646896,0.27,26.2,0.94,0.04,0.02,1,0.168551768
Aalburg,0.160575992,0.164811229,0.148717328,0.035575992,0.053727009,0.019966118,0.01803001,0.112657309,0.018635044,0.017909003,0.236447241,0.012100678,0.000847047,0.342769702,0.24,26,0.94,0.04,0.02,1,0.114257289
Aalsmeer,0.35332219,0.124947764,0.122806101,0.109694944,0.047795654,0.058295027,0.043251149,0.041684079,0.034214375,0.026379022,0.006738404,0.024864187,0.006007104,1.32036978,0.23,29,0.81,0.11,0.08,2,0.106492844
Aalten,0.194068192,0.248423634,0.096742177,0.099661373,0.129437179,0.066382532,0.046298459,0.047524521,0.02954227,0.018157403,0.00683092,0.01068426,0.006247081,1.088354898,0.19,23.8,0.88,0.08,0.04,1,0.132694938
Achtkarspelen,0.11924649,0.243232036,0.170132101,0.053492092,0.115396007,0.046679699,0.064273444,0.104673894,0.028849002,0.016705171,0.016408981,0.020614892,0.000296191,0.403370384,0.12,21.5,0.96,0.02,0.02,1,0.127523034
Alblasserdam,0.156324289,0.120255759,0.141650955,0.065333224,0.075006148,0.05065989,0.05607017,0.091155013,0.028608902,0.020083613,0.160259038,0.017378474,0.017214526,2.369130869,0.18,25.2,0.86,0.07,0.07,2,0.106407437
Albrandswaard,0.290014826,0.113517695,0.175078966,0.10616902,0.065622381,0.055501837,0.047830852,0.028556694,0.036292142,0.027718688,0.013150261,0.030490556,0.010056082,1.530864198,0.27,30.2,0.8,0.08,0.12,3,0.117267477
Alkmaar,0.226652802,0.088280061,0.109046521,0.142486851,0.087722471,0.130898021,0.074340311,0.01623039,0.03383215,0.04885694,0.00209473,0.02025408,0.01930467,2.896004429,0.3,24.8,0.78,0.09,0.13,3,0.129026603
Almelo,0.180377921,0.156697759,0.180786614,0.09734109,0.110467353,0.065727474,0.057433407,0.033128185,0.030411578,0.021300125,0.005192807,0.016540052,0.044595634,2.312732791,0.22,22.5,0.75,0.1,0.15,3,0.121814595
Almere,0.216476168,0.067830211,0.162523121,0.126260375,0.09036756,0.103296182,0.061987195,0.027118805,0.047702158,0.040322504,0.002599004,0.02392222,0.029594498,2.38460007,0.29,24.8,0.59,0.1,0.3,3,0.10037628
Alphen-Chaam,0.309865539,0.215289319,0.120713099,0.10137483,0.092763257,0.049705394,0.027647681,0.00664753,0.033086569,0.023266354,0.001964043,0.015712343,0.001964043,0,0.28,27.8,0.86,0.12,0.02,1,0.1426725
Alphen aan den Rijn,0.262809552,0.13412441,0.117290684,0.121108491,0.065801887,0.079893868,0.047361439,0.045165094,0.028626179,0.028965212,0.028007075,0.022494104,0.018352005,2.43936473,0.27,26.7,0.81,0.09,0.1,3,0.125556627
Ameland,0.262192886,0.224789146,0.097176384,0.095709571,0.063806381,0.063439677,0.088008801,0.01980198,0.02750275,0.02530253,0.002933627,0.029336267,0,0,0.28,22.7,0.93,0.05,0.02,1,0.139003578
Amersfoort,0.213834021,0.097040845,0.090907171,0.158039758,0.071429326,0.125069941,0.057092786,0.069518491,0.020987511,0.035609092,0.009606959,0.014822166,0.036041933,2.991123494,0.41,26.9,0.76,0.09,0.15,3,0.098220129
Amstelveen,0.285263632,0.082264738,0.090335532,0.183047237,0.056147323,0.109344914,0.070424843,0.021078291,0.032836249,0.039145397,0.003912491,0.018026138,0.008173215,3.290290066,0.43,29.7,0.59,0.19,0.22,3,0.108596322
Amsterdam,0.159347539,0.030763019,0.070907829,0.196005934,0.066520889,0.205446701,0.0868292,0.015499462,0.020197163,0.062499149,0.001558339,0.012945329,0.071479447,3.788955429,0.47,25.3,0.47,0.17,0.35,3,0.092732444
Apeldoorn,0.222193643,0.127241969,0.116468645,0.122770397,0.082743884,0.088066243,0.059307698,0.048850944,0.032715689,0.030301831,0.032725582,0.016728827,0.019884649,2.50390503,0.27,25.4,0.83,0.08,0.09,2,0.130217998
Appingedam,0.122790055,0.142679558,0.151243094,0.083563536,0.197651934,0.077209945,0.092955801,0.04378453,0.037292818,0.022237569,0.003314917,0.013535912,0.011740331,1.431077694,0.22,22.3,0.86,0.07,0.06,2,0.144098237
Arnhem,0.173933671,0.068825682,0.119984638,0.166783391,0.102069402,0.147377101,0.065335261,0.024624977,0.023574462,0.052616121,0.002496385,0.015464034,0.036914874,2.810404624,0.37,23.2,0.69,0.12,0.2,3,0.10474698
Assen,0.167649597,0.115889912,0.100522631,0.125167817,0.121068278,0.104406406,0.092323552,0.084771768,0.027617952,0.031142117,0.00795934,0.016326237,0.005154392,2.07357513,0.28,23.7,0.85,0.08,0.07,2,0.125075869
Asten,0.277756798,0.207798338,0.124622356,0.096865559,0.123111782,0.055324773,0.034554381,0.004814955,0.036159366,0.020203927,0.001604985,0.016238671,0.000944109,1.322561341,0.25,25.6,0.9,0.07,0.03,1,0.142096446
Baarle-Nassau,0.251869723,0.221471653,0.175150784,0.075512666,0.099638118,0.051628468,0.03039807,0.005548854,0.040289505,0.028226779,0.002171291,0.016164053,0.001930036,0.493993994,0.26,25.1,0.74,0.23,0.02,1,0.15817936
Baarn,0.28334291,0.112622103,0.097618592,0.152844283,0.059439443,0.090212603,0.055034157,0.037413012,0.026623252,0.037859925,0.012258188,0.019025729,0.015705803,2.376120619,0.34,29.2,0.83,0.09,0.08,2,0.135757675
Barendrecht,0.259851802,0.120242506,0.158268777,0.101313574,0.060087572,0.06224318,0.044829909,0.041596497,0.035735938,0.024823173,0.043583698,0.026507241,0.020916133,2.601779065,0.37,29.4,0.77,0.08,0.15,3,0.110354956
Barneveld,0.178663383,0.192544498,0.099546625,0.048360013,0.032435912,0.027230494,0.019534311,0.118437255,0.020401881,0.01125042,0.227695063,0.013461323,0.010438822,1.311158418,0.26,25.8,0.92,0.04,0.04,1,0.09942174
Bedum,0.123517501,0.209140874,0.07275094,0.09864044,0.128001157,0.096037026,0.078970205,0.119757015,0.019959502,0.026901938,0.014029505,0.012293896,0,0.854007634,0.32,24.3,0.93,0.04,0.03,1,0.146197156
Beemster,0.368267831,0.116933527,0.105450429,0.122755944,0.049814006,0.072941938,0.064855248,0.007116287,0.025715672,0.036713569,0.003072942,0.024421802,0.001940805,0.874049946,0.32,29.4,0.91,0.06,0.04,1,0.138403042
Beesel,0.192359661,0.155017811,0.216066822,0.098759366,0.125168898,0.060557671,0.040044221,0.004913401,0.054661589,0.022601646,0.001596855,0.01731974,0.010932318,0.967188665,0.16,24,0.84,0.11,0.05,2,0.145020515
Bellingwedde,0.143406114,0.096943231,0.196157205,0.070218341,0.186724891,0.071790393,0.096244541,0.028471616,0.038951965,0.047336245,0.00279476,0.020786026,0.000174672,0,0.23,22.6,0.89,0.08,0.03,1,0.178383227
Berg en Dal,0.202246709,0.129014278,0.152939159,0.112764224,0.149509068,0.102816962,0.058354414,0.007717704,0.031985594,0.036187454,0.001629293,0.013248724,0.001586417,0.768987342,0.26,,0.86,0.1,0.04,1,0.148314348
Bergeijk,0.287663499,0.247576927,0.148207396,0,0.130422509,0.054107462,0.036981274,0.008751294,0.039710172,0.023713183,0.003105298,0.019196387,0.0005646,0.585605234,0.25,26.6,0.9,0.08,0.02,1,0.135590448
Bergen (L.),0.19280888,0.185448842,0.191722973,0.071066602,0.204995174,0.04488417,0.029440154,0.004584942,0.038368726,0.019908301,0.00132722,0.014478764,0.000965251,0.309160305,0.16,24.1,0.85,0.13,0.02,1,0.156395571
Bergen (NH.),0.302625159,0.102029862,0.109105104,0.129501317,0.05913926,0.106372597,0.067141602,0.010832439,0.030740705,0.058700107,0.001707817,0.021372109,0.000731922,1.194369973,0.3,29.9,0.87,0.09,0.03,1,0.170955636
Bergen op Zoom,0.24314354,0.107184654,0.174986007,0.104640513,0.107947896,0.080649265,0.042767008,0.010609067,0.041418613,0.025161553,0.001602809,0.015519259,0.044369816,2.471059392,0.28,25,0.76,0.1,0.14,3,0.135572214
Berkelland,0.228464292,0.207908642,0.102096472,0.116175217,0.130697119,0.067257542,0.068757457,0.014283279,0.026657576,0.019601159,0.002727118,0.013021987,0.002352139,0.9032331,0.25,24.4,0.92,0.05,0.03,1,0.145530991
Bernheze,0.257085128,0.204445153,0.118945074,0.110437603,0.154251077,0.052533631,0.034083054,0.005742543,0.029510289,0.014622215,0.001116606,0.014941245,0.002286383,0.851619299,0.28,26.7,0.92,0.06,0.03,1,0.129445987
Best,0.26761027,0.13588984,0.129251701,0.123875357,0.120364275,0.066381391,0.038237876,0.022108844,0.043888523,0.022602589,0.002139566,0.015306122,0.012343647,1.959904044,0.31,27.6,0.85,0.09,0.07,2,0.1212817
Beuningen,0.255613021,0.128202008,0.149741406,0.12229997,0.127411013,0.078673563,0.049528445,0.00888348,0.038211135,0.020991786,0.001399452,0.016002434,0.003042288,1.449469131,0.29,26.3,0.88,0.07,0.05,2,0.137783197
Beverwijk,0.226575809,0.080111825,0.164810204,0.115057004,0.101472066,0.097497052,0.060411479,0.012187131,0.043768838,0.036954528,0.001703578,0.024680033,0.034770454,3.461802997,0.23,24.1,0.74,0.12,0.14,3,0.113488418
Binnenmaas,0.251374339,0.140338139,0.152629395,0.086349964,0.066279432,0.048179649,0.059485531,0.046727518,0.033917643,0.029405663,0.060626491,0.024012032,0.000674204,0.806662088,0.25,28.5,0.91,0.05,0.04,1,0.143362406
Bladel,0.262182077,0.192060851,0.131606053,0.094208066,0.141114016,0.053640757,0.035496395,0.005942477,0.043895095,0.020679819,0.001743127,0.017193566,0.000237699,1.041375872,0.21,26,0.9,0.07,0.03,1,0.127747595
Blaricum,0.399912204,0.111647644,0.089113257,0.134182031,0.044044483,0.051214516,0.049165935,0.01770559,0.027363184,0.031314018,0.005121452,0.032338308,0.006877378,1.490677134,0.34,39,0.81,0.11,0.07,2,0.16625821
Bloemendaal,0.400929615,0.100332005,0.055909695,0.182071713,0.030677291,0.084196547,0.053054449,0.014209827,0.015737052,0.042363878,0.00252324,0.016932271,0.001062417,1.49890495,0.4,41.8,0.82,0.13,0.05,2,0.140059581
Bodegraven-Reeuwijk,0.273052574,0.161299202,0.117166713,0.09432058,0.040278925,0.05702358,0.03610423,0.068263143,0.024084778,0.017708047,0.081291862,0.018075053,0.011331315,1.669433739,0.3,29.4,0.88,0.06,0.06,2,0.123825334
Boekel,0.248354748,0.244907552,0.135067377,0.088060169,0.151833281,0.040112817,0.028047634,0.004073958,0.026637418,0.017392667,0.001253526,0.013945472,0.000313381,0.62728146,0.21,25.4,0.92,0.06,0.02,1,0.120894949
Borger-Odoorn,0.196090154,0.131344533,0.15065463,0.091110181,0.145513242,0.064984755,0.089077539,0.038978896,0.036587553,0.028038501,0.007413164,0.020206851,0,0.189274448,0.24,23.9,0.94,0.04,0.02,1,0.156261092
Borne,0.230055159,0.240548904,0.110251581,0.123705099,0.101304991,0.064038746,0.052132383,0.015673349,0.023341854,0.016682362,0.00221983,0.01648056,0.003565182,1.784993418,0.31,26,0.89,0.07,0.05,2,0.130730423
Borsele,0.192071468,0.171621999,0.115159129,0.07160804,0.078796762,0.046412619,0.044318816,0.03538526,0.034268565,0.025055835,0.167434394,0.01758794,0.000279174,0.311150286,0.27,25.7,0.91,0.06,0.03,1,0.129099083
Boxtel,0.231753606,0.136156599,0.125040668,0.134855222,0.145103568,0.086107797,0.05042837,0.008675849,0.030853487,0.025105737,0.000976033,0.014423598,0.010519466,1.858727569,0.25,25.6,0.85,0.07,0.08,2,0.137400098
Breda,0.276558457,0.096324299,0.117070082,0.151652506,0.096324299,0.106132898,0.048859487,0.01011139,0.025425284,0.034123649,0.001449727,0.016405777,0.019562146,2.774108612,0.36,26.4,0.77,0.11,0.12,3,0.111209847
Brielle,0.290601435,0.1105389,0.180614309,0.09830789,0.087640243,0.055545338,0.0556373,0.013886334,0.038532279,0.030255656,0.004598124,0.032370793,0.0014714,1.243467933,0.3,28.3,0.87,0.09,0.05,2,0.143289966
Bronckhorst,0.260291454,0.21517372,0.092746583,0.117322575,0.093528734,0.061172402,0.060390252,0.021076898,0.030215709,0.024370163,0.009262309,0.013420056,0.001029145,0.40071409,0.21,25.9,0.94,0.04,0.02,1,0.154847569
Brummen,0.234204554,0.125338605,0.122190497,0.122336921,0.110256973,0.084339996,0.078556263,0.018010103,0.035654147,0.029723992,0.004173073,0.015667326,0.019547551,1.157314149,0.29,25.9,0.88,0.06,0.06,2,0.14297366
Brunssum,0.130070418,0.113658849,0.268346622,0.073444684,0.187627306,0.055229005,0.043007624,0.012977943,0.055578188,0.033579701,0.002618867,0.018739452,0.005121341,2.602044413,0.21,22.1,0.76,0.19,0.05,2,0.144509486
Bunnik,0.246530853,0.147032772,0.078535577,0.167306367,0.045467966,0.134041925,0.067414625,0.032280287,0.020273595,0.030508808,0.015844897,0.013384509,0.001377817,0.76055409,0.42,30.9,0.87,0.08,0.05,2,0.125164951
Bunschoten,0.152957937,0.25058109,0.133088401,0.025642948,0.023243608,0.01934468,0.012671515,0.257029317,0.01814501,0.007347979,0.076104071,0.016720402,0.007123041,1.861560419,0.24,26.1,0.9,0.05,0.05,2,0.104567079
Buren,0.283278263,0.122551333,0.178192117,0.092459287,0.064668397,0.04602313,0.053870663,0.027436866,0.033573283,0.023955629,0.052277555,0.021005428,0.000708048,0.066793169,0.28,27.4,0.92,0.06,0.02,1,0.140959466
Capelle aan den IJssel,0.207092947,0.0905735,0.169782465,0.106526038,0.085009888,0.076704021,0.058088332,0.041766645,0.040500989,0.034884641,0.053157548,0.022676335,0.013236651,3.19978922,0.28,25.5,0.66,0.11,0.23,3,0.134023878
Castricum,0.293104875,0.116505256,0.082650443,0.149656485,0.070979224,0.111166294,0.071682808,0.012292029,0.02822614,0.040849267,0.001862429,0.019865905,0.001158844,1.869639307,0.35,29.5,0.89,0.07,0.04,1,0.138630168
Coevorden,0.225504006,0.168984946,0.142133991,0.092437715,0.11647152,0.05867594,0.087463685,0.025618452,0.036975086,0.020468351,0.007659125,0.016770843,0.000836341,0.532011331,0.21,24,0.91,0.05,0.03,1,0.145723516
Cranendonck,0.2483372,0.180123743,0.177880897,0.092266048,0.125986079,0.042382057,0.032869296,0.006883217,0.046171694,0.025986079,0.001392111,0.018716164,0.001005414,0.719052224,0.24,25.8,0.84,0.12,0.04,1,0.146836912
Cromstrijen,0.261024755,0.135405872,0.155440415,0.086931491,0.071272309,0.049165227,0.05388601,0.035578584,0.037305699,0.025561313,0.067127231,0.021070812,0.000230282,0.944487881,0.3,28.3,0.93,0.04,0.03,1,0.149019301
Cuijk,0.210286375,0.140105304,0.127134969,0.112944651,0.196417105,0.071529472,0.040516245,0.006228329,0.028252215,0.023885964,0.000513677,0.011686144,0.030499551,1.090688259,0.22,24.5,0.81,0.1,0.1,3,0.133300939
Culemborg,0.210438868,0.096367595,0.132691647,0.131717658,0.072705397,0.126102899,0.065830182,0.028875902,0.027959207,0.037641801,0.010026355,0.015526527,0.044115962,2.269465375,0.31,25.8,0.77,0.09,0.14,3,0.122451909
Dalfsen,0.1948017,0.320615616,0.078674057,0.084701071,0.067696282,0.0430501,0.042888662,0.088952268,0.02480762,0.016466663,0.024538557,0.012645967,0.000161438,0.654312188,0.27,25.5,0.95,0.03,0.02,1,0.128428928
Dantumadiel,0.098463863,0.261730882,0.142953076,0.050113322,0.124569798,0.046251994,0.058591455,0.104843448,0.026861412,0.016956266,0.055653488,0.012759171,0.000251826,0.423746702,0.22,21.9,0.96,0.02,0.02,1,0.134357512
De Bilt,0.268754629,0.103093147,0.083871195,0.162346136,0.0581949,0.114520509,0.060064191,0.035234367,0.020668007,0.039643071,0.031495785,0.013860967,0.008253095,1.852466682,0.44,31.9,0.83,0.1,0.08,2,0.132993404
De Fryske Marren,0.220981871,0.226396155,0.110597396,0.096240419,0.09292493,0.067070203,0.070963621,0.031542767,0.029139798,0.022965081,0.010950237,0.018615403,0.001612118,0.697557193,0.23,,0.92,0.05,0.03,1,0.137733837
De Marne,0.134726337,0.172306253,0.12911274,0.0712615,0.140651801,0.089505692,0.084515827,0.081241229,0.026820521,0.041946047,0.012630594,0.015125526,0.000155933,0,0.21,22.6,0.94,0.04,0.02,1,0.158604282
De Ronde Venen,0.33230057,0.139636752,0.117307692,0.12232906,0.041666667,0.068233618,0.043126781,0.032549858,0.028881766,0.028917379,0.015883191,0.021794872,0.007371795,1.321720832,0.27,30.6,0.84,0.09,0.07,2,0.133947571
De Wolden,0.28,0.190188679,0.096037736,0.100125786,0.075471698,0.060314465,0.070251572,0.037735849,0.035974843,0.024402516,0.011320755,0.017987421,0.000188679,0.173473684,0.23,25.6,0.95,0.03,0.02,1,0.144710243
Delft,0.180820907,0.075632789,0.116829092,0.20631699,0.068017512,0.145965077,0.066256269,0.032205579,0.026670245,0.039384739,0.005434691,0.017310499,0.01915561,3.649141843,0.43,24.5,0.66,0.14,0.2,3,0.105118316
Delfzijl,0.131754503,0.138759173,0.160173449,0.079386258,0.169446298,0.068579053,0.088192128,0.053168779,0.048232155,0.023015344,0.005737158,0.015677118,0.017878586,0.878654385,0.14,22.4,0.82,0.08,0.1,3,0.143320649
Den Helder,0.222130898,0.122557078,0.196621005,0.08891933,0.084718417,0.065266362,0.057138508,0.032968037,0.054581431,0.033059361,0.008767123,0.030319635,0.002952816,2.597286683,0.19,23.1,0.8,0.1,0.1,3,0.140664049
Deurne,0.261130137,0.19560838,0.145598308,0.091257051,0.139202256,0.054441982,0.03203062,0.004482272,0.03877921,0.018634166,0.001259065,0.015612409,0.001964142,1.172769953,0.26,24.9,0.91,0.06,0.03,1,0.137350077
Deventer,0.186113252,0.102756687,0.106954853,0.149149707,0.104609784,0.12032011,0.084012529,0.026763312,0.02968235,0.036373178,0.003099428,0.012791289,0.037373522,2.409768379,0.34,24.1,0.79,0.09,0.13,3,0.111949242
Diemen,0.206147324,0.061738209,0.120959194,0.150172231,0.076046635,0.153219396,0.085784314,0.01781929,0.039149444,0.04491256,0.001059883,0.019674086,0.023317435,3.306818182,0.35,26.2,0.57,0.15,0.28,3,0.112056322
Dinkelland,0.253155919,0.373023996,0.112305243,0.083361765,0.062151712,0.033776868,0.031502331,0.005231434,0.021266917,0.010576595,0.001592176,0.011657,0.000398044,0.530868902,0.26,26,0.92,0.06,0.02,1,0.129286694
Doesburg,0.18461958,0.112353422,0.143714208,0.119580038,0.146986638,0.08576493,0.066266703,0.020725389,0.032315244,0.033815108,0.002863376,0.014044178,0.036951186,1.134920635,0.23,23.3,0.8,0.09,0.1,3,0.155453664
Doetinchem,0.215135596,0.141303422,0.1273605,0.128269203,0.126622178,0.081811728,0.065057504,0.023143547,0.028908136,0.024676984,0.010109328,0.013176203,0.014425671,1.627365102,0.26,24.3,0.86,0.07,0.07,2,0.131947852
Dongen,0.260083449,0.136869389,0.134972816,0.116639272,0.122328992,0.069604248,0.050006322,0.013402453,0.034644076,0.022442787,0.003413832,0.014982931,0.020609432,1.783614269,0.19,25.6,0.87,0.07,0.06,2,0.134658356
Dongeradeel,0.12747062,0.304220085,0.113648504,0.068042201,0.106103098,0.060162927,0.055221688,0.07946047,0.026442308,0.025507479,0.014222756,0.019297543,0.000200321,0.69958159,0.19,22.1,0.94,0.03,0.02,1,0.126772938
Dordrecht,0.185519701,0.093563662,0.159198527,0.103779376,0.094674383,0.092686777,0.057362914,0.047307962,0.032459371,0.03967906,0.030997895,0.017128493,0.04564188,3.229596564,0.28,24.2,0.7,0.11,0.18,3,0.119648617
Drechterland,0.316905953,0.147846427,0.121793838,0.120745281,0.070817874,0.065494435,0.052427811,0.011211486,0.036054202,0.028391676,0.002177771,0.025891273,0.000241975,0.445590511,0.23,26.4,0.9,0.07,0.03,1,0.14444903
Drimmelen,0.281228193,0.135322168,0.168469411,0.102930914,0.114328914,0.060479181,0.041870202,0.008432194,0.040067458,0.02605257,0.002733194,0.017213305,0.000872296,0.968005952,0.23,26.8,0.92,0.06,0.03,1,0.149168186
Dronten,0.258997121,0.180542226,0.118242163,0.089691299,0.074016315,0.064659309,0.041746641,0.070137556,0.031709853,0.022752719,0.015315099,0.020913308,0.011276392,1.109720177,0.25,25.3,0.84,0.07,0.08,2,0.11206008
Druten,0.256706282,0.129456706,0.142105263,0.122410866,0.132852292,0.065959253,0.049405772,0.005857385,0.037775891,0.021137521,0.001697793,0.016977929,0.017657046,1.071620894,0.3,25.1,0.88,0.06,0.06,2,0.130043635
Duiven,0.257271785,0.142996524,0.130007927,0.12519056,0.107933411,0.079151168,0.052381243,0.01542777,0.039209708,0.02628209,0.002195256,0.018476736,0.003475822,1.72992126,0.32,25.5,0.86,0.08,0.05,2,0.127529727
Echt-Susteren,0.162167537,0.19855829,0.229828486,0.087546607,0.128262491,0.052895849,0.032761621,0.005319413,0.051404425,0.0298782,0.001093711,0.017946806,0.002336565,0.886584983,0.28,24.9,0.83,0.13,0.04,1,0.161307559
Edam-Volendam,0.233158651,0.221916998,0.220268785,0.070027893,0.036598766,0.051517201,0.03782436,0.006635111,0.028653537,0.026286873,0.001901783,0.062124926,0.003085115,2.001396258,0.19,27.6,0.91,0.04,0.04,1,0.13622905
Ede,0.190269877,0.149348017,0.104121536,0.091976353,0.049908457,0.064080167,0.038154603,0.102695979,0.021984319,0.022501433,0.128174309,0.01537365,0.021411301,2.113373887,0.31,25.7,0.85,0.07,0.08,2,0.114855274
Eemnes,0.318409622,0.134313398,0.106916138,0.133645172,0.057467424,0.062479118,0.057133311,0.028399599,0.030905446,0.034580688,0.009355162,0.02505847,0.001336452,1.385555556,0.24,29,0.87,0.08,0.05,2,0.133459273
Eemsmond,0.124517852,0.171199684,0.111166057,0.072989813,0.164869944,0.075462368,0.094946098,0.100682425,0.026901395,0.031253091,0.013846306,0.012066067,9.89E-05,0.247126437,0.19,22.1,0.93,0.04,0.03,1,0.148505365
